Name	Code	Last	Cur	M. cap.	Industry
SEB SA	SK XPAR	51.00	EUR	3,366	 Appliances, Tools & Housewares
Faurecia SE	FRVIA XPAR	12.73	EUR	3,202	 Automotive Parts & Components
Lagardere SA	MMB XPAR	18.44	EUR	3,175	 Other Retailers
SES SA	SESG XPAR	6.50	EUR	3,161	 Integrated Telecommunications Services
ID Logistics SAS	IDL XPAR	401.50	EUR	3,112	 Courier, Postal, Air Freight & Land-based Logistics
Unibel SA	UNBL XPAR	1,180.00	EUR	2,957	 Branded & Packaged Foods
SES-imagotag	VU XPAR	144.20	EUR	2,916	 Integrated Hardware & Software
Carmila SA	CARM XPAR	17.90	EUR	2,891	 Retail REITs
Remy Cointreau SA	RCO XPAR	43.50	EUR	2,829	 Distillers & Wineries
Verallia SA	VRLA XPAR	20.44	EUR	2,804	 Containers & Packaging
Sopra Steria Group SA	SOP XPAR	118.80	EUR	2,766	 Technology Consulting & Systems Integration
Societe BIC SA	BB XPAR	57.70	EUR	2,765	 Household Products
Coface SA	COFA XPAR	15.76	EUR	2,744	 Property & Casualty Insurance
Soc Indust Financiere Artois SA	ARTO XPAR	8,500.00	EUR	2,666	 Investment Holding Companies
Vivendi SE	VIV XPAR	2.22	EUR	2,584	 Broadcasting
Interparfums SA	ITP XPAR	24.88	EUR	2,506	 Personal Products
Exail Technologies	EXA XPAR	121.20	EUR	2,455	 Aerospace & Defense
Alten SA	ATE XPAR	57.20	EUR	2,451	 Technology Consulting & Systems Integration
Imerys SA	NK XPAR	24.24	EUR	2,350	 Specialty Chemicals
Antin Infrastructure Partners SAS	ANTIN XPAR	10.08	EUR	2,126	 Investment Management & Fund Operators
Argan SA	ARG XPAR	69.40	EUR	2,112	 Industrial & Logistics REITs
Peugeot Invest SA	PEUG XPAR	70.70	EUR	2,105	 Investment Holding Companies
Believe SA	BLV XPAR	17.20	EUR	2,041	 Digital Content & Streaming (Non-Gaming)
Robertet SA	RBT XPAR	864.00	EUR	2,029	 Specialty Chemicals
Robertet SA	CBE XPAR	784.60	EUR	2,029	 Specialty Chemicals
Exclusive Networks SAS	EXN XPAR	18.96	EUR	2,024	 Technology Consulting & Systems Integration
Etablissements Maurel et Prom SA	MAU XPAR	8.80	EUR	2,017	 Oil and Gas Exploration & Production
Caisse Reg Credit Agric Mut Nord France	CNDF XPAR	28.01	EUR	1,945	 Major Regional & National Banks
Icade SA	ICAD XPAR	21.08	EUR	1,913	 Building & Real Estate Construction
Electricité de Strasbourg	ELEC XPAR	218.00	EUR	1,892	 Multiline Utilities
Valeo SE	FR XPAR	12.65	EUR	1,872	 Automotive Parts & Components
Stef SA	STF XPAR	126.40	EUR	1,870	 Ground Freight & Logistics
Television Francaise 1 SA	TFI XPAR	7.12	EUR	1,787	 Broadcasting
Derichebourg SA	DBG XPAR	9.46	EUR	1,763	 Environmental Services & Equipment
